instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
13,BST,16384,5765,4909,2465,1601,1644,225,4684,91,2374,2,1599,5450,28,0,000000
13,RedBlackBST,16384,5765,4909,2465,1601,1644,225,4684,91,2374,2,1599,5450,17,0,015625
14,BST,16384,5769,4925,2380,1694,1616,219,4706,94,2286,0,1694,5447,33,0,000000
14,RedBlackBST,16384,5769,4925,2380,1694,1616,219,4706,94,2286,0,1694,5447,16,0,000000
15,BST,16384,5582,4977,2497,1658,1670,211,4766,92,2405,1,1657,5283,30,0,015625
15,RedBlackBST,16384,5582,4977,2497,1658,1670,211,4766,92,2405,1,1657,5283,16,0,000000
16,BST,16384,5829,4915,2402,1643,1595,228,4687,94,2308,0,1643,5491,27,0,000000
16,RedBlackBST,16384,5829,4915,2402,1643,1595,228,4687,94,2308,0,1643,5491,16,0,000000
17,BST,16384,5716,4959,2429,1623,1657,201,4758,108,2321,0,1623,5427,29,0,000000
17,RedBlackBST,16384,5716,4959,2429,1623,1657,201,4758,108,2321,0,1623,5427,16,0,000000
18,BST,16384,5770,5002,2480,1561,1571,215,4787,91,2389,0,1561,5473,26,0,000000
18,RedBlackBST,16384,5770,5002,2480,1561,1571,215,4787,91,2389,0,1561,5473,17,0,015625
19,BST,16384,5759,4815,2440,1677,1693,193,4622,86,2354,0,1677,5440,26,0,000000
19,RedBlackBST,16384,5759,4815,2440,1677,1693,193,4622,86,2354,0,1677,5440,16,0,000000
20,BST,16384,5664,4880,2490,1650,1700,205,4675,107,2383,1,1649,5359,25,0,000000
20,RedBlackBST,16384,5664,4880,2490,1650,1700,205,4675,107,2383,1,1649,5359,17,0,015625
21,BST,16384,5844,4861,2454,1600,1625,218,4643,89,2365,0,1600,5539,27,0,000000
21,RedBlackBST,16384,5844,4861,2454,1600,1625,218,4643,89,2365,0,1600,5539,16,0,000000
22,BST,16384,5738,4968,2455,1623,1600,214,4754,92,2363,0,1623,5439,27,0,000000
22,RedBlackBST,16384,5738,4968,2455,1623,1600,214,4754,92,2363,0,1623,5439,17,0,015625
23,BST,16384,5627,4954,2427,1741,1635,206,4748,95,2332,1,1740,5316,27,0,000000
23,RedBlackBST,16384,5627,4954,2427,1741,1635,206,4748,95,2332,1,1740,5316,16,0,000000
24,BST,16384,5617,5039,2498,1621,1609,217,4822,78,2420,0,1621,5320,28,0,000000
24,RedBlackBST,16384,5617,5039,2498,1621,1609,217,4822,78,2420,0,1621,5320,17,0,000000
25,BST,16384,5727,4914,2499,1582,1662,201,4713,89,2410,0,1582,5388,28,0,000000
25,RedBlackBST,16384,5727,4914,2499,1582,1662,201,4713,89,2410,0,1582,5388,16,0,015625
26,BST,16384,5591,4957,2507,1606,1723,209,4748,86,2421,1,1605,5292,25,0,000000
26,RedBlackBST,16384,5591,4957,2507,1606,1723,209,4748,86,2421,1,1605,5292,17,0,000000
27,BST,16384,5760,4950,2488,1613,1573,211,4739,89,2399,0,1613,5426,27,0,015625
27,RedBlackBST,16384,5760,4950,2488,1613,1573,211,4739,89,2399,0,1613,5426,17,0,000000
28,BST,16384,5699,4938,2480,1601,1666,202,4736,118,2362,1,1600,5405,30,0,000000
28,RedBlackBST,16384,5699,4938,2480,1601,1666,202,4736,118,2362,1,1600,5405,16,0,000000
29,BST,16384,5684,4934,2521,1648,1597,206,4728,99,2422,1,1647,5362,28,0,000000
29,RedBlackBST,16384,5684,4934,2521,1648,1597,206,4728,99,2422,1,1647,5362,16,0,000000
30,BST,16384,5685,4908,2481,1690,1620,222,4686,85,2396,0,1690,5371,31,0,000000
30,RedBlackBST,16384,5685,4908,2481,1690,1620,222,4686,85,2396,0,1690,5371,16,0,000000
