instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,262144,91990,78735,39180,25971,26268,3284,75451,1488,37692,9,25962,87063,39,0,109375
1,RedBlackBST,262144,91990,78735,39180,25971,26268,3284,75451,1488,37692,9,25962,87063,22,0,093750
2,BST,262144,91681,78970,39536,26012,25945,3408,75562,1482,38054,6,26006,86728,37,0,109375
2,RedBlackBST,262144,91681,78970,39536,26012,25945,3408,75562,1482,38054,6,26006,86728,22,0,140625
3,BST,262144,91830,78735,39252,26258,26069,3303,75432,1451,37801,4,26254,86892,38,0,125000
3,RedBlackBST,262144,91830,78735,39252,26258,26069,3303,75432,1451,37801,4,26254,86892,22,0,109375
4,BST,262144,91829,78590,38901,26368,26456,3264,75326,1492,37409,5,26363,86796,37,0,203125
4,RedBlackBST,262144,91829,78590,38901,26368,26456,3264,75326,1492,37409,5,26363,86796,22,0,140625
5,BST,262144,91677,78757,39245,26294,26171,3282,75475,1487,37758,8,26286,86776,36,0,125000
5,RedBlackBST,262144,91677,78757,39245,26294,26171,3282,75475,1487,37758,8,26286,86776,22,0,171875
6,BST,262144,92062,78303,39465,26353,25961,3256,75047,1576,37889,7,26346,87008,39,0,203125
6,RedBlackBST,262144,92062,78303,39465,26353,25961,3256,75047,1576,37889,7,26346,87008,22,0,187500
7,BST,262144,91348,78864,39229,26302,26401,3370,75494,1503,37726,2,26300,86520,39,0,140625
7,RedBlackBST,262144,91348,78864,39229,26302,26401,3370,75494,1503,37726,2,26300,86520,22,0,187500
8,BST,262144,91679,78463,39261,26453,26288,3312,75151,1467,37794,8,26445,86781,45,0,203125
8,RedBlackBST,262144,91679,78463,39261,26453,26288,3312,75151,1467,37794,8,26445,86781,22,0,234375
9,BST,262144,91661,78507,39181,26373,26422,3214,75293,1443,37738,8,26365,86690,40,0,265625
9,RedBlackBST,262144,91661,78507,39181,26373,26422,3214,75293,1443,37738,8,26365,86690,22,0,187500
10,BST,262144,91675,79046,39236,26085,26102,3350,75696,1475,37761,10,26075,86635,37,0,171875
10,RedBlackBST,262144,91675,79046,39236,26085,26102,3350,75696,1475,37761,10,26075,86635,22,0,312500
11,BST,262144,91958,78302,39224,26369,26291,3243,75059,1428,37796,10,26359,86946,38,0,218750
11,RedBlackBST,262144,91958,78302,39224,26369,26291,3243,75059,1428,37796,10,26359,86946,21,0,187500
12,BST,262144,91633,78805,39417,26170,26119,3395,75410,1463,37954,11,26159,86730,39,0,187500
12,RedBlackBST,262144,91633,78805,39417,26170,26119,3395,75410,1463,37954,11,26159,86730,22,0,140625
13,BST,262144,91435,78884,39292,26249,26284,3260,75624,1435,37857,1,26248,86489,39,0,156250
13,RedBlackBST,262144,91435,78884,39292,26249,26284,3260,75624,1435,37857,1,26248,86489,22,0,187500
14,BST,262144,92107,78468,39285,25986,26298,3384,75084,1535,37750,1,25985,87004,39,0,187500
