instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
14,RedBlackBST,262144,92107,78468,39285,25986,26298,3384,75084,1535,37750,1,25985,87004,22,0,171875
15,BST,262144,91954,78192,39454,26209,26335,3360,74832,1575,37879,6,26203,86927,39,0,234375
15,RedBlackBST,262144,91954,78192,39454,26209,26335,3360,74832,1575,37879,6,26203,86927,22,0,203125
16,BST,262144,91707,78578,39506,26115,26238,3282,75296,1465,38041,4,26111,86754,42,0,187500
16,RedBlackBST,262144,91707,78578,39506,26115,26238,3282,75296,1465,38041,4,26111,86754,23,0,171875
17,BST,262144,91996,78802,39091,26078,26177,3251,75551,1505,37586,8,26070,86978,37,0,156250
17,RedBlackBST,262144,91996,78802,39091,26078,26177,3251,75551,1505,37586,8,26070,86978,23,0,171875
18,BST,262144,91702,78832,39248,26343,26019,3344,75488,1492,37756,2,26341,86706,39,0,187500
18,RedBlackBST,262144,91702,78832,39248,26343,26019,3344,75488,1492,37756,2,26341,86706,22,0,187500
19,BST,262144,91833,78686,39380,26122,26123,3302,75384,1523,37857,6,26116,86836,40,0,187500
19,RedBlackBST,262144,91833,78686,39380,26122,26123,3302,75384,1523,37857,6,26116,86836,21,0,187500
20,BST,262144,91645,78595,39351,26389,26164,3341,75254,1424,37927,6,26383,86640,40,0,187500
20,RedBlackBST,262144,91645,78595,39351,26389,26164,3341,75254,1424,37927,6,26383,86640,21,0,171875
21,BST,262144,91682,78578,39224,26227,26433,3339,75239,1476,37748,10,26217,86628,38,0,203125
21,RedBlackBST,262144,91682,78578,39224,26227,26433,3339,75239,1476,37748,10,26217,86628,21,0,156250
22,BST,262144,91791,78408,39426,26470,26049,3342,75066,1464,37962,7,26463,86863,38,0,171875
22,RedBlackBST,262144,91791,78408,39426,26470,26049,3342,75066,1464,37962,7,26463,86863,22,0,156250
23,BST,262144,91448,79112,39257,26109,26218,3348,75764,1477,37780,4,26105,86458,40,0,187500
23,RedBlackBST,262144,91448,79112,39257,26109,26218,3348,75764,1477,37780,4,26105,86458,22,0,187500
24,BST,262144,91763,78422,39433,26198,26328,3310,75112,1515,37918,10,26188,86876,40,0,171875
24,RedBlackBST,262144,91763,78422,39433,26198,26328,3310,75112,1515,37918,10,26188,86876,22,0,187500
25,BST,262144,91979,78775,38980,26274,26136,3337,75438,1463,37517,5,26269,86970,37,0,187500
25,RedBlackBST,262144,91979,78775,38980,26274,26136,3337,75438,1463,37517,5,26269,86970,23,0,171875
26,BST,262144,91672,78286,39536,26298,26352,3237,75049,1474,38062,9,26289,86662,40,0,187500
26,RedBlackBST,262144,91672,78286,39536,26298,26352,3237,75049,1474,38062,9,26289,86662,22,0,187500
27,BST,262144,91914,79131,39065,25898,26136,3471,75660,1492,37573,8,25890,86910,39,0,187500
27,RedBlackBST,262144,91914,79131,39065,25898,26136,3471,75660,1492,37573,8,25890,86910,22,0,171875
28,BST,262144,91749,78860,39199,26167,26169,3260,75600,1480,37719,5,26162,86717,36,0,125000
28,RedBlackBST,262144,91749,78860,39199,26167,26169,3260,75600,1480,37719,5,26162,86717,23,0,171875
29,BST,262144,92221,78134,39432,26356,26001,3369,74765,1542,37890,12,26344,87244,41,0,187500
29,RedBlackBST,262144,92221,78134,39432,26356,26001,3369,74765,1542,37890,12,26344,87244,22,0,187500
30,BST,262144,91789,78602,39587,26093,26073,3341,75261,1486,38101,10,26083,86865,41,0,156250
30,RedBlackBST,262144,91789,78602,39587,26093,26073,3341,75261,1486,38101,10,26083,86865,22,0,187500
