instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,65536,22979,19783,9704,6624,6446,841,18942,363,9341,3,6621,21765,35,0,015625
1,RedBlackBST,65536,22979,19783,9704,6624,6446,841,18942,363,9341,3,6621,21765,18,0,015625
2,BST,65536,22839,19858,9859,6433,6547,834,19024,364,9495,3,6430,21616,30,0,015625
2,RedBlackBST,65536,22839,19858,9859,6433,6547,834,19024,364,9495,3,6430,21616,19,0,015625
3,BST,65536,22865,19769,9816,6550,6536,811,18958,376,9440,0,6550,21632,33,0,015625
3,RedBlackBST,65536,22865,19769,9816,6550,6536,811,18958,376,9440,0,6550,21632,19,0,015625
4,BST,65536,22772,19676,9941,6684,6463,815,18861,370,9571,2,6682,21570,36,0,015625
4,RedBlackBST,65536,22772,19676,9941,6684,6463,815,18861,370,9571,2,6682,21570,19,0,015625
5,BST,65536,22972,19598,9788,6571,6607,859,18739,389,9399,4,6567,21783,33,0,000000
5,RedBlackBST,65536,22972,19598,9788,6571,6607,859,18739,389,9399,4,6567,21783,20,0,031250
6,BST,65536,22943,19776,9833,6441,6543,779,18997,367,9466,1,6440,21677,32,0,015625
6,RedBlackBST,65536,22943,19776,9833,6441,6543,779,18997,367,9466,1,6440,21677,19,0,015625
7,BST,65536,23085,19528,9837,6586,6500,825,18703,379,9458,0,6586,21820,38,0,015625
7,RedBlackBST,65536,23085,19528,9837,6586,6500,825,18703,379,9458,0,6586,21820,20,0,031250
8,BST,65536,22723,19678,9861,6553,6721,820,18858,380,9481,2,6551,21478,31,0,031250
8,RedBlackBST,65536,22723,19678,9861,6553,6721,820,18858,380,9481,2,6551,21478,20,0,015625
9,BST,65536,23014,19685,9744,6533,6560,870,18815,391,9353,0,6533,21782,31,0,015625
9,RedBlackBST,65536,23014,19685,9744,6533,6560,870,18815,391,9353,0,6533,21782,19,0,015625
10,BST,65536,22909,19805,9738,6638,6446,868,18937,361,9377,1,6637,21638,30,0,015625
10,RedBlackBST,65536,22909,19805,9738,6638,6446,868,18937,361,9377,1,6637,21638,20,0,015625
11,BST,65536,22867,19491,9798,6762,6618,796,18695,366,9432,4,6758,21602,35,0,015625
11,RedBlackBST,65536,22867,19491,9798,6762,6618,796,18695,366,9432,4,6758,21602,19,0,015625
12,BST,65536,22957,19515,9831,6624,6609,839,18676,385,9446,1,6623,21717,38,0,015625
12,RedBlackBST,65536,22957,19515,9831,6624,6609,839,18676,385,9446,1,6623,21717,20,0,015625
13,BST,65536,22938,19701,9809,6584,6504,856,18845,367,9442,1,6583,21681,32,0,015625
13,RedBlackBST,65536,22938,19701,9809,6584,6504,856,18845,367,9442,1,6583,21681,20,0,015625
14,BST,65536,22962,19675,9810,6475,6614,865,18810,393,9417,2,6473,21714,36,0,015625
14,RedBlackBST,65536,22962,19675,9810,6475,6614,865,18810,393,9417,2,6473,21714,21,0,015625
15,BST,65536,22794,19709,9873,6454,6706,826,18883,378,9495,2,6452,21598,33,0,015625
15,RedBlackBST,65536,22794,19709,9873,6454,6706,826,18883,378,9495,2,6452,21598,19,0,015625
16,BST,65536,22922,19795,9844,6453,6522,849,18946,366,9478,4,6449,21682,30,0,015625
16,RedBlackBST,65536,22922,19795,9844,6453,6522,849,18946,366,9478,4,6449,21682,19,0,015625
17,BST,65536,22969,19576,9853,6538,6600,862,18714,385,9468,3,6535,21719,37,0,015625
17,RedBlackBST,65536,22969,19576,9853,6538,6600,862,18714,385,9468,3,6535,21719,20,0,015625
18,BST,65536,22988,19615,9838,6512,6583,840,18775,338,9500,1,6511,21743,30,0,015625
18,RedBlackBST,65536,22988,19615,9838,6512,6583,840,18775,338,9500,1,6511,21743,19,0,015625
