instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,524288,183690,157161,78626,52593,52218,6659,150502,3048,75578,17,52576,173697,40,0,484375
1,RedBlackBST,524288,183690,157161,78626,52593,52218,6659,150502,3048,75578,17,52576,173697,23,0,390625
2,BST,524288,184060,157185,78288,52008,52747,6695,150490,3026,75262,14,51994,174016,45,0,531250
2,RedBlackBST,524288,184060,157185,78288,52008,52747,6695,150490,3026,75262,14,51994,174016,24,0,562500
3,BST,524288,183559,157074,78820,52617,52218,6675,150399,3105,75715,23,52594,173579,44,0,500000
3,RedBlackBST,524288,183559,157074,78820,52617,52218,6675,150399,3105,75715,23,52594,173579,23,0,406250
4,BST,524288,183210,157279,78911,52518,52370,6588,150691,2909,76002,9,52509,173311,42,0,500000
4,RedBlackBST,524288,183210,157279,78911,52518,52370,6588,150691,2909,76002,9,52509,173311,24,0,500000
5,BST,524288,182803,157668,78731,52461,52625,6496,151172,3042,75689,14,52447,172922,41,0,515625
5,RedBlackBST,524288,182803,157668,78731,52461,52625,6496,151172,3042,75689,14,52447,172922,22,0,515625
6,BST,524288,183675,157156,78455,52178,52824,6605,150551,2921,75534,16,52162,173566,42,0,609375
6,RedBlackBST,524288,183675,157156,78455,52178,52824,6605,150551,2921,75534,16,52162,173566,24,0,390625
7,BST,524288,183565,157290,78688,52599,52146,6580,150710,3027,75661,16,52583,173503,40,0,484375
7,RedBlackBST,524288,183565,157290,78688,52599,52146,6580,150710,3027,75661,16,52583,173503,24,0,359375
8,BST,524288,183285,157585,78686,52559,52173,6606,150979,2939,75747,7,52552,173485,41,0,484375
8,RedBlackBST,524288,183285,157585,78686,52559,52173,6606,150979,2939,75747,7,52552,173485,23,0,375000
9,BST,524288,183904,157164,78705,52393,52122,6607,150557,2905,75800,16,52377,173992,45,0,500000
9,RedBlackBST,524288,183904,157164,78705,52393,52122,6607,150557,2905,75800,16,52377,173992,23,0,421875
10,BST,524288,183636,157236,78635,52472,52309,6584,150652,3044,75591,13,52459,173786,38,0,500000
10,RedBlackBST,524288,183636,157236,78635,52472,52309,6584,150652,3044,75591,13,52459,173786,23,0,484375
11,BST,524288,182984,157643,78759,52578,52324,6653,150990,2970,75789,12,52566,173013,42,0,484375
11,RedBlackBST,524288,182984,157643,78759,52578,52324,6653,150990,2970,75789,12,52566,173013,24,0,421875
12,BST,524288,183466,157717,77947,52425,52733,6535,151182,2916,75031,14,52411,173591,41,0,515625
12,RedBlackBST,524288,183466,157717,77947,52425,52733,6535,151182,2916,75031,14,52411,173591,23,0,500000
13,BST,524288,183107,157072,78581,52527,53001,6490,150582,2952,75629,9,52518,173091,42,0,500000
13,RedBlackBST,524288,183107,157072,78581,52527,53001,6490,150582,2952,75629,9,52518,173091,23,0,375000
14,BST,524288,183937,157455,78372,52306,52218,6657,150798,3028,75344,19,52287,173962,40,0,468750
14,RedBlackBST,524288,183937,157455,78372,52306,52218,6657,150798,3028,75344,19,52287,173962,23,0,390625
15,BST,524288,183428,157229,78778,52476,52377,6789,150440,2979,75799,10,52466,173514,43,0,500000
15,RedBlackBST,524288,183428,157229,78778,52476,52377,6789,150440,2979,75799,10,52466,173514,24,0,468750
16,BST,524288,182982,157541,78854,52497,52414,6648,150893,3027,75827,13,52484,173039,40,0,421875
16,RedBlackBST,524288,182982,157541,78854,52497,52414,6648,150893,3027,75827,13,52484,173039,24,0,468750
17,BST,524288,183510,157562,78604,52328,52284,6644,150918,3084,75520,13,52315,173449,43,0,468750
17,RedBlackBST,524288,183510,157562,78604,52328,52284,6644,150918,3084,75520,13,52315,173449,23,0,468750
18,BST,524288,183175,157068,78648,52686,52711,6686,150382,2910,75738,12,52674,173164,45,0,500000
18,RedBlackBST,524288,183175,157068,78648,52686,52711,6686,150382,2910,75738,12,52674,173164,25,0,484375
19,BST,524288,183557,157206,78474,52251,52800,6578,150628,3055,75419,10,52241,173577,40,0,437500
19,RedBlackBST,524288,183557,157206,78474,52251,52800,6578,150628,3055,75419,10,52241,173577,23,0,390625
20,BST,524288,183443,157590,78614,52389,52252,6540,151050,2985,75629,12,52377,173749,38,0,468750
20,RedBlackBST,524288,183443,157590,78614,52389,52252,6540,151050,2985,75629,12,52377,173749,23,0,453125
21,BST,524288,183384,157106,78700,52827,52271,6549,150557,2977,75723,14,52813,173334,41,0,484375
21,RedBlackBST,524288,183384,157106,78700,52827,52271,6549,150557,2977,75723,14,52813,173334,23,0,453125
22,BST,524288,183690,156790,78718,52484,52606,6549,150241,3040,75678,16,52468,173714,41,0,468750
22,RedBlackBST,524288,183690,156790,78718,52484,52606,6549,150241,3040,75678,16,52468,173714,25,0,437500
23,BST,524288,183338,157151,78784,52598,52417,6634,150517,2900,75884,17,52581,173498,42,0,484375
23,RedBlackBST,524288,183338,157151,78784,52598,52417,6634,150517,2900,75884,17,52581,173498,23,0,468750
24,BST,524288,183776,156568,78880,52656,52408,6515,150053,2976,75904,11,52645,173892,47,0,500000
24,RedBlackBST,524288,183776,156568,78880,52656,52408,6515,150053,2976,75904,11,52645,173892,25,0,468750
25,BST,524288,183510,157469,78742,52182,52385,6853,150616,3033,75709,12,52170,173618,44,0,437500
25,RedBlackBST,524288,183510,157469,78742,52182,52385,6853,150616,3033,75709,12,52170,173618,24,0,468750
26,BST,524288,183544,157508,78799,52508,51929,6739,150769,2960,75839,7,52501,173535,44,0,484375
