instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,131072,45795,39328,19634,13196,13119,1634,37694,781,18853,7,13189,43280,35,0,046875
1,RedBlackBST,131072,45795,39328,19634,13196,13119,1634,37694,781,18853,7,13189,43280,20,0,046875
2,BST,131072,45559,39507,19714,13103,13189,1594,37913,717,18997,3,13100,43177,34,0,046875
2,RedBlackBST,131072,45559,39507,19714,13103,13189,1594,37913,717,18997,3,13100,43177,20,0,031250
3,BST,131072,45739,39369,19565,13084,13315,1686,37683,734,18831,4,13080,43249,36,0,031250
3,RedBlackBST,131072,45739,39369,19565,13084,13315,1686,37683,734,18831,4,13080,43249,21,0,031250
4,BST,131072,45872,39341,19465,13303,13091,1627,37714,758,18707,2,13301,43419,38,0,031250
4,RedBlackBST,131072,45872,39341,19465,13303,13091,1627,37714,758,18707,2,13301,43419,21,0,031250
5,BST,131072,45742,39553,19609,12943,13225,1689,37864,747,18862,3,12940,43232,34,0,046875
5,RedBlackBST,131072,45742,39553,19609,12943,13225,1689,37864,747,18862,3,12940,43232,20,0,015625
6,BST,131072,45889,39462,19534,12984,13203,1613,37849,715,18819,2,12982,43412,34,0,046875
6,RedBlackBST,131072,45889,39462,19534,12984,13203,1613,37849,715,18819,2,12982,43412,21,0,046875
7,BST,131072,45841,39393,19579,12984,13275,1654,37739,773,18806,3,12981,43361,35,0,031250
7,RedBlackBST,131072,45841,39393,19579,12984,13275,1654,37739,773,18806,3,12981,43361,20,0,046875
8,BST,131072,45825,38778,19786,13336,13347,1662,37116,763,19023,6,13330,43302,39,0,046875
8,RedBlackBST,131072,45825,38778,19786,13336,13347,1662,37116,763,19023,6,13330,43302,20,0,031250
9,BST,131072,45829,39452,19589,13126,13076,1657,37795,737,18852,11,13115,43406,37,0,031250
9,RedBlackBST,131072,45829,39452,19589,13126,13076,1657,37795,737,18852,11,13115,43406,20,0,031250
10,BST,131072,45897,39128,19526,13220,13301,1690,37438,703,18823,7,13213,43440,41,0,031250
10,RedBlackBST,131072,45897,39128,19526,13220,13301,1690,37438,703,18823,7,13213,43440,21,0,046875
11,BST,131072,45794,39174,19924,13131,13049,1626,37548,755,19169,5,13126,43338,36,0,031250
11,RedBlackBST,131072,45794,39174,19924,13131,13049,1626,37548,755,19169,5,13126,43338,20,0,046875
12,BST,131072,46196,38881,19871,13100,13024,1677,37204,727,19144,3,13097,43691,36,0,031250
12,RedBlackBST,131072,46196,38881,19871,13100,13024,1677,37204,727,19144,3,13097,43691,20,0,031250
13,BST,131072,45791,39568,19633,13052,13028,1658,37910,729,18904,3,13049,43276,35,0,031250
13,RedBlackBST,131072,45791,39568,19633,13052,13028,1658,37910,729,18904,3,13049,43276,21,0,046875
14,BST,131072,45709,39352,19534,13325,13152,1644,37708,773,18761,4,13321,43142,37,0,031250
14,RedBlackBST,131072,45709,39352,19534,13325,13152,1644,37708,773,18761,4,13321,43142,21,0,046875
15,BST,131072,46181,39316,19674,12823,13078,1672,37644,785,18889,6,12817,43682,37,0,031250
15,RedBlackBST,131072,46181,39316,19674,12823,13078,1672,37644,785,18889,6,12817,43682,20,0,046875
16,BST,131072,46003,39314,19561,13074,13120,1616,37698,763,18798,2,13072,43470,37,0,031250
16,RedBlackBST,131072,46003,39314,19561,13074,13120,1616,37698,763,18798,2,13072,43470,20,0,046875
17,BST,131072,45910,39366,19918,12928,12950,1604,37762,803,19115,6,12922,43365,37,0,046875
17,RedBlackBST,131072,45910,39366,19918,12928,12950,1604,37762,803,19115,6,12922,43365,21,0,046875
18,BST,131072,45758,39638,19499,13147,13030,1688,37950,737,18762,4,13143,43315,36,0,046875
18,RedBlackBST,131072,45758,39638,19499,13147,13030,1688,37950,737,18762,4,13143,43315,21,0,031250
19,BST,131072,46033,39402,19664,13070,12903,1679,37723,782,18882,2,13068,43511,38,0,031250
19,RedBlackBST,131072,46033,39402,19664,13070,12903,1679,37723,782,18882,2,13068,43511,21,0,031250
20,BST,131072,45952,39307,19680,13110,13023,1650,37657,721,18959,3,13107,43476,35,0,031250
20,RedBlackBST,131072,45952,39307,19680,13110,13023,1650,37657,721,18959,3,13107,43476,21,0,046875
21,BST,131072,45861,39246,19774,13004,13187,1646,37600,706,19068,5,12999,43354,33,0,031250
21,RedBlackBST,131072,45861,39246,19774,13004,13187,1646,37600,706,19068,5,12999,43354,21,0,046875
22,BST,131072,45986,39278,19843,12971,12994,1697,37581,712,19131,6,12965,43473,35,0,046875
22,RedBlackBST,131072,45986,39278,19843,12971,12994,1697,37581,712,19131,6,12965,43473,20,0,046875
23,BST,131072,46078,39269,19601,13042,13082,1668,37601,713,18888,0,13042,43647,38,0,031250
23,RedBlackBST,131072,46078,39269,19601,13042,13082,1668,37601,713,18888,0,13042,43647,21,0,046875
24,BST,131072,45948,39158,19790,13041,13135,1685,37473,749,19041,5,13036,43437,34,0,031250
24,RedBlackBST,131072,45948,39158,19790,13041,13135,1685,37473,749,19041,5,13036,43437,21,0,046875
25,BST,131072,45579,39677,19698,13060,13058,1624,38053,703,18995,4,13056,43155,37,0,031250
25,RedBlackBST,131072,45579,39677,19698,13060,13058,1624,38053,703,18995,4,13056,43155,20,0,046875
26,BST,131072,45968,39250,19598,13224,13032,1651,37599,726,18872,6,13218,43502,37,0,046875
26,RedBlackBST,131072,45968,39250,19598,13224,13032,1651,37599,726,18872,6,13218,43502,20,0,031250
27,BST,131072,45880,39307,19633,13076,13176,1686,37621,756,18877,4,13072,43410,35,0,031250
27,RedBlackBST,131072,45880,39307,19633,13076,13176,1686,37621,756,18877,4,13072,43410,21,0,046875
28,BST,131072,45704,39237,19759,13335,13037,1668,37569,736,19023,3,13332,43301,35,0,031250
28,RedBlackBST,131072,45704,39237,19759,13335,13037,1668,37569,736,19023,3,13332,43301,21,0,046875
29,BST,131072,46053,39472,19504,13064,12979,1609,37863,750,18754,3,13061,43652,34,0,046875
29,RedBlackBST,131072,46053,39472,19504,13064,12979,1609,37863,750,18754,3,13061,43652,20,0,031250
30,BST,131072,45775,39238,19661,13224,13174,1672,37566,751,18910,6,13218,43337,35,0,031250
30,RedBlackBST,131072,45775,39238,19661,13224,13174,1672,37566,751,18910,6,13218,43337,20,0,046875
