instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
14,BST,32768,11595,9913,4820,3283,3157,433,9480,194,4626,2,3281,10988,29,0,000000
14,RedBlackBST,32768,11595,9913,4820,3283,3157,433,9480,194,4626,2,3281,10988,18,0,015625
15,BST,32768,11543,9847,4861,3256,3261,413,9434,179,4682,0,3256,10946,34,0,000000
15,RedBlackBST,32768,11543,9847,4861,3256,3261,413,9434,179,4682,0,3256,10946,17,0,000000
16,BST,32768,11484,9800,4861,3322,3301,399,9401,187,4674,2,3320,10869,30,0,000000
16,RedBlackBST,32768,11484,9800,4861,3322,3301,399,9401,187,4674,2,3320,10869,18,0,015625
17,BST,32768,11366,9907,4926,3296,3273,388,9519,175,4751,1,3295,10763,31,0,000000
17,RedBlackBST,32768,11366,9907,4926,3296,3273,388,9519,175,4751,1,3295,10763,18,0,015625
18,BST,32768,11513,9813,4854,3304,3284,393,9420,181,4673,0,3304,10915,31,0,015625
18,RedBlackBST,32768,11513,9813,4854,3304,3284,393,9420,181,4673,0,3304,10915,17,0,000000
19,BST,32768,11473,9852,4891,3266,3286,416,9436,203,4688,0,3266,10895,34,0,015625
19,RedBlackBST,32768,11473,9852,4891,3266,3286,416,9436,203,4688,0,3266,10895,17,0,000000
20,BST,32768,11465,9812,4901,3300,3290,408,9404,186,4715,2,3298,10882,26,0,015625
20,RedBlackBST,32768,11465,9812,4901,3300,3290,408,9404,186,4715,2,3298,10882,18,0,000000
21,BST,32768,11473,9909,4883,3242,3261,387,9522,221,4662,1,3241,10880,31,0,000000
21,RedBlackBST,32768,11473,9909,4883,3242,3261,387,9522,221,4662,1,3241,10880,17,0,000000
22,BST,32768,11357,9899,4950,3161,3401,387,9512,197,4753,2,3159,10696,28,0,000000
22,RedBlackBST,32768,11357,9899,4950,3161,3401,387,9512,197,4753,2,3159,10696,17,0,015625
23,BST,32768,11580,9786,4902,3261,3239,423,9363,172,4730,1,3260,10947,31,0,000000
23,RedBlackBST,32768,11580,9786,4902,3261,3239,423,9363,172,4730,1,3260,10947,18,0,015625
24,BST,32768,11413,9878,4858,3275,3344,399,9479,191,4667,1,3274,10779,30,0,015625
24,RedBlackBST,32768,11413,9878,4858,3275,3344,399,9479,191,4667,1,3274,10779,18,0,000000
25,BST,32768,11330,9980,4926,3266,3266,438,9542,195,4731,0,3266,10724,31,0,000000
25,RedBlackBST,32768,11330,9980,4926,3266,3266,438,9542,195,4731,0,3266,10724,17,0,000000
26,BST,32768,11410,9843,4945,3301,3269,402,9441,204,4741,0,3301,10796,33,0,000000
26,RedBlackBST,32768,11410,9843,4945,3301,3269,402,9441,204,4741,0,3301,10796,18,0,015625
27,BST,32768,11422,10011,4765,3245,3325,401,9610,189,4576,1,3244,10760,31,0,000000
27,RedBlackBST,32768,11422,10011,4765,3245,3325,401,9610,189,4576,1,3244,10760,18,0,015625
28,BST,32768,11541,9709,4868,3308,3342,413,9296,190,4678,0,3308,10885,28,0,000000
28,RedBlackBST,32768,11541,9709,4868,3308,3342,413,9296,190,4678,0,3308,10885,18,0,015625
29,BST,32768,11476,9810,4965,3155,3362,432,9378,199,4766,1,3154,10853,33,0,015625
29,RedBlackBST,32768,11476,9810,4965,3155,3362,432,9378,199,4766,1,3154,10853,18,0,000000
30,BST,32768,11367,9935,4894,3283,3289,412,9523,183,4711,1,3282,10725,29,0,015625
30,RedBlackBST,32768,11367,9935,4894,3283,3289,412,9523,183,4711,1,3282,10725,19,0,000000
