instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,32768,11526,9776,5015,3224,3227,413,9363,186,4829,1,3223,10867,28,0,000000
1,RedBlackBST,32768,11526,9776,5015,3224,3227,413,9363,186,4829,1,3223,10867,17,0,015625
2,BST,32768,11377,9831,4871,3339,3350,434,9397,189,4682,0,3339,10780,30,0,015625
2,RedBlackBST,32768,11377,9831,4871,3339,3350,434,9397,189,4682,0,3339,10780,17,0,000000
3,BST,32768,11470,9824,4880,3289,3305,412,9412,163,4717,1,3288,10841,28,0,000000
3,RedBlackBST,32768,11470,9824,4880,3289,3305,412,9412,163,4717,1,3288,10841,18,0,000000
4,BST,32768,11370,9855,4931,3308,3304,430,9425,206,4725,3,3305,10742,29,0,000000
4,RedBlackBST,32768,11370,9855,4931,3308,3304,430,9425,206,4725,3,3305,10742,18,0,015625
5,BST,32768,11247,10111,4797,3296,3317,443,9668,176,4621,0,3296,10650,33,0,000000
5,RedBlackBST,32768,11247,10111,4797,3296,3317,443,9668,176,4621,0,3296,10650,18,0,015625
6,BST,32768,11475,9810,4968,3268,3247,436,9374,187,4781,1,3267,10816,29,0,015625
6,RedBlackBST,32768,11475,9810,4968,3268,3247,436,9374,187,4781,1,3267,10816,18,0,000000
7,BST,32768,11504,9903,4846,3179,3336,432,9471,193,4653,1,3178,10847,28,0,000000
7,RedBlackBST,32768,11504,9903,4846,3179,3336,432,9471,193,4653,1,3178,10847,17,0,015625
8,BST,32768,11375,9719,4974,3326,3374,407,9312,178,4796,0,3326,10732,31,0,000000
8,RedBlackBST,32768,11375,9719,4974,3326,3374,407,9312,178,4796,0,3326,10732,18,0,015625
9,BST,32768,11505,9784,4879,3318,3282,417,9367,175,4704,0,3318,10881,33,0,015625
9,RedBlackBST,32768,11505,9784,4879,3318,3282,417,9367,175,4704,0,3318,10881,18,0,000000
10,BST,32768,11553,9791,4926,3281,3217,380,9411,172,4754,0,3281,10927,29,0,015625
10,RedBlackBST,32768,11553,9791,4926,3281,3217,380,9411,172,4754,0,3281,10927,18,0,000000
11,BST,32768,11366,9870,4847,3321,3364,439,9431,170,4677,0,3321,10714,30,0,015625
11,RedBlackBST,32768,11366,9870,4847,3321,3364,439,9431,170,4677,0,3321,10714,19,0,000000
12,BST,32768,11419,9781,4947,3360,3261,397,9384,201,4746,0,3360,10820,33,0,000000
12,RedBlackBST,32768,11419,9781,4947,3360,3261,397,9384,201,4746,0,3360,10820,19,0,000000
13,BST,32768,11458,9943,4845,3252,3270,457,9486,167,4678,0,3252,10862,29,0,000000
13,RedBlackBST,32768,11458,9943,4845,3252,3270,457,9486,167,4678,0,3252,10862,18,0,015625
